country,frequency
en:france,1109929
en:united-states,712983
en:spain,333584
en:germany,319896
en:italy,250943
en:united-kingdom,146793
en:canada,96782
en:switzerland,95762
en:belgium,89413
en:ireland,73876
en:world,70577
en:australia,54213
en:netherlands,36599
en:brazil,23750
en:morocco,22719
en:poland,22652
en:russia,22134
en:japan,20871
en:norway,19716
en:romania,18193
en:austria,15958
en:sweden,15739
en:portugal,13956
en:czech-republic,13124
en:india,12673
en:finland,12595
en:mexico,12472
en:bulgaria,11640
en:argentina,10902
en:luxembourg,10667
en:denmark,10595
en:new-zealand,10096
en:saudi-arabia,9669
en:thailand,8060
en:hungary,7620
en:greece,7015
en:singapore,6611
en:algeria,6480
en:south-africa,6440
en:lithuania,6303
en:colombia,4865
en:croatia,4559
en:philippines,4532
en:indonesia,4516
en:chile,4459
en:reunion,4435
en:united-arab-emirates,4419
en:qatar,4157
en:slovakia,4138
en:israel,3924
en:ukraine,3806
en:bolivia,3784
en:turkey,3525
en:tunisia,3350
en:serbia,3262
en:malaysia,3183
en:hong-kong,2708
en:iraq,2641
en:puerto-rico,2602
en:egypt,2545
en:new-caledonia,2475
en:slovenia,2463
en:estonia,2414
en:kuwait,2046
en:latvia,1990
en:peru,1883
en:french-polynesia,1840
en:guadeloupe,1744
en:lebanon,1721
en:costa-rica,1665
en:south-korea,1652
en:cyprus,1531
en:georgia,1517
en:cuba,1456
en:iceland,1431
en:panama,1356
en:ecuador,1330
en:china,1319
en:senegal,1292
en:dominican-republic,1283
en:moldova,1281
en:mauritius,1256
en:martinique,1247
en:malta,1236
en:pakistan,1225
en:uruguay,1222
en:venezuela,1221
en:cote-d-ivoire,1080
en:vietnam,1058
en:turkiye,1055
en:deutschland,1010
en:paraguay,975
en:el-salvador,974
en:taiwan,958
en:andorra,896
en:belarus,856
en:bosnia-and-herzegovina,832
en:jordan,799
en:north-macedonia,791
en:albania,791
en:guatemala,741
en:virgin-islands-of-the-united-states,676
en:libya,664
en:palestinian-territories,664
en:bahrain,661
en:iran,653
en:yugoslavia,627
en:honduras,622
en:cameroon,590
en:kazakhstan,586
en:trinidad-and-tobago,567
en:nigeria,549
en:francia,535
en:azerbaijan,525
en:bangladesh,512
en:uzbekistan,508
en:ethiopia,485
en:jamaica,485
en:frankreich,472
en:faroe-islands,426
en:french-guiana,416
en:montenegro,415
en:cambodia,406
en:madagascar,400
en:kenya,391
en:somalia,347
en:oman,340
en:sri-lanka,331
en:ghana,328
en:gabon,316
en:european-union,309
en:democratic-republic-of-the-congo,303
en:nicaragua,302
en:brunei,290
en:burkina-faso,282
en:suriname,281
en:monaco,272
en:afghanistan,266
en:armenia,257
fr:francia,236
en:myanmar,236
en:mongolia,231
en:gibraltar,228
en:mali,227
en:belgique,207
en:nepal,206
en:schweiz,190
en:barbados,190
fr:france-la-reunion,189
en:maldives,188
en:haiti,181
en:scotland,175
en:the-bahamas,175
en:guam,169
en:jersey,166
en:estados-unidos,155
en:benin,155
en:saint-pierre-and-miquelon,154
en:syria,149
en:kyrgyzstan,147
en:guinea,140
en:en,133
en:etats-unis,131
en:togo,130
en:yemen,125
en:aland-islands,124
en:isle-of-man,118
en:zambia,114
en:republic-of-the-congo,111
en:curacao,110
en:sierra-leone,110
en:rwanda,107
en:macau,104
en:liechtenstein,103
en:mauritania,102
en:guernsey,101
en:papua-new-guinea,100
en:guyana,98
en:niger,95
en:aruba,93
fr:angleterre,92
en:mozambique,92
en:san-marino,91
en:republic-of-macedonia,90
en:nederland,90
en:suisse,89
en:seychelles,83
en:tanzania,83
en:espagne,83
en:allemagne,80
en:bermuda,73
en:namibia,72
en:kosovo,72
en:mayotte,71
en:montserrat,65
en:angola,64
en:djibouti,63
fr:frankreich,63
en:fiji,61
en:maroc,57
en:francia-espana,56
en:vereinigte-staaten-von-amerika,54
en:uganda,54
en:saint-lucia,52
en:ישראל,51
nl:belgie,49
en:antigua-and-barbuda,46
en:cape-verde,45
en:saint-martin,45
en:laos,43
en:emirats-arabes-unis,40
en:irlande,40
en:liban,39
en:indonesie,39
en:angleterre,39
en:worldwide,38
en:greenland,38
en:cayman-islands,37
en:sint-maarten,37
en:sudan,37
en:zimbabwe,36
en:tajikistan,36
en:chad,35
en:botswana,34
en:belgie,32
en:malawi,32
de:allemagne,32
en:england,31
en:vanuatu,31
en:algerie,31
en:frankrijk,30
en:irland,30
en:belize,30
en:royaume-uni,30
ru:nyl,28
en:comoros,27
en:liberia,26
en:alemania,25
en:belgien,25
en:american-samoa,25
en:ประเทศไทย-thai,25
en:republika-srpska,24
en:saint-vincent-and-the-grenadines,24
en:north-korea,23
en:wallis-and-futuna,22
en:polska,21
en:equatorial-guinea,20
en:belgica,20
en:british-virgin-islands,20
en:grenada,19
fr:deutschland,18
en:niederlande,18
en:europe,18
en:anguilla,18
en:angle,18
fr:angle,17
en:kanada,17
en:sverige,17
en:suiza,17
en:northern-mariana-islands,16
fr:dom-tom,16
en:bhutan,16
es:cantabria,15
en:dominica,15
en:south-east-asia,15
en:stati-uniti-d-america,15
fr:schweiz,14
en:spanien,14
en:international,14
en:česko,14
fr:international,14
fr:quebec,14
en:gambia,14
en:нидерланды,13
en:south-sudan,13
en:reino-unido,13
en:state-of-palestine,13
en:burundi,13
en:turks-and-caicos-islands,12
en:caribbean-netherlands,12
en:日本,12
fr:belgien,12
fr:belgica,11
es:santona,11
en:east-germany,11
en:benelux,10
en:central-african-republic,10
en:palau,10
en:france-spain,10
en:ελλάδα,10
en:la-reunion,10
en:المغرب,10
en:saint-kitts-and-nevis,9
fr:value,9
en:stany-zjednoczone,9
en:turkmenistan,8
en:marruecos,8
en:swaziland,8
en:en-us,7
en:cook-islands,7
en:timor-leste,7
en:espanha,6
de:švýcarsko,6
de:autriche,6
fr:en-fr,6
fr:madagascar-toamasina,6
en:iraqi-kurdistan,6
en:hrvatska,6
en:st-kitts-and-nevis,5
en:lesotho,5
en:soviet-union,5
de:česko,5
en:italien,5
de:německo,5
en:mexique,5
en:tunisie,4
en:vatican-city,4
en:dom-tom,4
en:galmudug,4
ru:word,4
en:western-canada,4
fr:polska,4
en:samoa,3
fr:frankrijk,3
en:vereinigtes-konigreich,3
en:unknown,3
en:antarctic,3
en:francja,3
en:solomon-islands,3
en:eritrea,3
en:united-states-minor-outlying-islands,3
fr:europe,3
en:franca,3
